Date,Open,High,Low,Close,Adj Close,Volume
31-Aug-17,"21,936.01","21,985.76","21,910.50","21,948.10","21,948.10","376,790,000"
30-Aug-17,"21,859.76","21,914.26","21,839.47","21,892.43","21,892.43","242,840,000"
29-Aug-17,"21,718.00","21,879.22","21,673.58","21,865.37","21,865.37","227,340,000"
28-Aug-17,"21,832.50","21,861.49","21,767.94","21,808.40","21,808.40","218,740,000"
25-Aug-17,"21,819.08","21,906.86","21,812.81","21,813.67","21,813.67","217,570,000"
24-Aug-17,"21,839.90","21,870.11","21,765.82","21,783.40","21,783.40","228,480,000"
23-Aug-17,"21,850.27","21,866.66","21,808.39","21,812.09","21,812.09","234,810,000"
22-Aug-17,"21,739.78","21,912.83","21,738.13","21,899.89","21,899.89","244,980,000"
21-Aug-17,"21,671.36","21,718.74","21,600.34","21,703.75","21,703.75","277,880,000"
18-Aug-17,"21,724.88","21,793.35","21,641.63","21,674.51","21,674.51","309,070,000"
17-Aug-17,"21,984.74","21,984.74","21,750.32","21,750.73","21,750.73","311,030,000"
16-Aug-17,"22,031.93","22,085.71","22,002.47","22,024.87","22,024.87","264,920,000"
15-Aug-17,"22,029.91","22,038.92","21,971.48","21,998.99","21,998.99","269,070,000"
14-Aug-17,"21,945.64","22,019.23","21,945.64","21,993.71","21,993.71","235,030,000"
11-Aug-17,"21,883.32","21,911.09","21,842.74","21,858.32","21,858.32","237,790,000"
10-Aug-17,"21,988.20","21,988.20","21,843.94","21,844.01","21,844.01","303,310,000"
9-Aug-17,"22,022.34","22,057.19","21,996.69","22,048.70","22,048.70","277,800,000"
8-Aug-17,"22,095.14","22,179.11","22,057.29","22,085.34","22,085.34","262,000,000"
7-Aug-17,"22,100.20","22,121.15","22,081.97","22,118.42","22,118.42","213,010,000"
4-Aug-17,"22,058.39","22,092.81","22,024.64","22,092.81","22,092.81","253,640,000"
3-Aug-17,"22,007.58","22,044.85","21,991.32","22,026.10","22,026.10","278,730,000"
2-Aug-17,"22,004.36","22,036.10","21,967.46","22,016.24","22,016.24","336,820,000"
1-Aug-17,"21,961.42","21,990.96","21,940.81","21,963.92","21,963.92","328,410,000"
31-Jul-17,"21,863.39","21,929.80","21,861.71","21,891.12","21,891.12","307,610,000"
28-Jul-17,"21,787.51","21,841.18","21,756.12","21,830.31","21,830.31","285,630,000"
27-Jul-17,"21,717.42","21,798.47","21,687.85","21,796.55","21,796.55","407,320,000"
26-Jul-17,"21,690.38","21,742.70","21,683.29","21,711.01","21,711.01","278,240,000"
25-Jul-17,"21,638.56","21,670.62","21,577.37","21,613.43","21,613.43","304,300,000"
24-Jul-17,"21,577.78","21,577.78","21,496.13","21,513.17","21,513.17","284,080,000"
21-Jul-17,"21,591.72","21,592.61","21,503.78","21,580.07","21,580.07","362,830,000"
20-Jul-17,"21,641.54","21,661.91","21,576.96","21,611.78","21,611.78","313,950,000"
19-Jul-17,"21,569.25","21,640.75","21,565.84","21,640.75","21,640.75","253,040,000"
18-Jul-17,"21,589.94","21,589.94","21,471.14","21,574.73","21,574.73","251,110,000"
17-Jul-17,"21,633.97","21,661.81","21,617.66","21,629.72","21,629.72","244,780,000"
14-Jul-17,"21,532.77","21,681.53","21,521.72","21,637.74","21,637.74","235,590,000"
13-Jul-17,"21,537.19","21,568.72","21,512.36","21,553.09","21,553.09","232,270,000"
12-Jul-17,"21,467.93","21,580.79","21,467.93","21,532.14","21,532.14","267,870,000"
11-Jul-17,"21,410.17","21,441.62","21,279.30","21,409.07","21,409.07","247,570,000"
10-Jul-17,"21,381.23","21,446.39","21,371.11","21,408.52","21,408.52","270,340,000"
7-Jul-17,"21,354.66","21,425.82","21,350.72","21,414.34","21,414.34","242,240,000"
6-Jul-17,"21,423.93","21,433.10","21,305.38","21,320.04","21,320.04","320,450,000"
